2D print out 
Nsteps    |Rn^2                    |Fsaw(N)          

10      26.245401780820973       0.04205813          
11      30.01340852217676       0.0286922          
12      34.196551872002544       0.01935601          
13      38.305601568034255       0.01314257          
14      42.77017525413036       0.00884487          
15      47.15800335635167       0.00596481          
16      52.1084914216143       0.00402465          
17      56.7217301446708       0.0027096          
18      61.79938518965801       0.0018217          
19      66.79623023485523       0.00122501          
20      72.06611732632535       8.1431E-4          
21      77.09762677262951       5.4862E-4          
22      82.90044301905253       3.6793E-4          
23      88.5685936151855       2.4339E-4          
24      94.1182617247526       1.6269E-4          
25      99.70915153760652       1.0796E-4          
26      107.26827276439363       7.347E-5          
27      111.93239611329336       4.837E-5          
28      118.40290820963344       3.301E-5          
29      130.23866239120477       2.183E-5          
30      131.82940360610263       1.442E-5          
31      138.70194384449243       9.26E-6          
32      137.12140575079871       6.26E-6          
33      151.52154195011337       4.41E-6          
34      159.5                    2.92E-6          
35      158.86206896551724       1.74E-6          
36      173.1904761904762       1.26E-6          
37      167.76190476190476       8.4E-7          
38      189.42857142857142       7.0E-7          
39      171.4390243902439       4.1E-7          
40      219.72727272727272       2.2E-7          
