3D print out 
Nsteps |Rn^2                    |Fsaw(N)           
10      16.817813385107403       0.14572031         
11      18.837364969394578       0.11554325         
12      20.951601647445088       0.09133658          
13      23.059777502077893       0.07228472          
14      25.23060529090025       0.05701903          
15      27.371199048298624       0.04505615          
16      29.622667900865224       0.03553183          
17      31.843203953585117       0.02798068          
18      34.12127371950317       0.02202934          
19      36.40306656788883       0.01735882          
20      38.73996228182499       0.01364329          
21      40.97256719529447       0.0107448          
22      43.432978714585005       0.00844381          
23      45.8398020834429       0.00665533          
24      48.219977484431844       0.00521417         
25      50.58887428350835       0.00409286          
26      53.16495733674266       0.00321471          
27      55.585050996626556       0.00253154          
28      57.99029355465905       0.00199043          
29      60.522024861079885       0.00155665          
30      62.85375758366495       0.00122632          
31      65.20661900870051       9.6661E-4          
32      67.92540191215775       7.5203E-4          
33      70.62756518794447       5.906E-4          
34      72.84294465341215       4.6525E-4          
35      75.71843860660462       3.6429E-4         
36      78.33879093198992       2.8584E-4          
37      81.12294143549097       2.271E-4          
38      84.12634577043578       1.7555E-4          
39      86.7052206518604       1.3868E-4          
40      87.77367933271547       1.079E-4          
