 4D data set
N	Rn^2	            FSAW(N)

10	26.64650386489166	0.20160591  
11	31.214613112578206	0.1678602
12	36.16513901480431	0.13969915
13	41.456112193343664	0.11622579
14	47.11109163708101	0.09676705
15	53.107096972306515	0.08056661
16	59.46000595941151	0.06698648 
17	66.1907959331034	0.05574275 
18	73.26966688556898	0.04639817
19	80.7222559670002	0.03862326 
20	88.50622116381273	0.03213627
21	96.68160870603006	0.02672906
22	105.19180589310824	0.0222599
23	113.93270430910403	0.01851545
24	123.25014770881097	0.01541885
25	132.7781977581897	0.01280483
26	142.61333898255833	0.01066813
27	152.93735539610483	0.0088777
28	163.57130750506988	0.00738674
29	174.6692037793783	0.00616186
30	186.09009196014537	0.00510656
31	197.5924166376315	0.00424772
32	209.70432561509554	0.00354701
33	222.4457465894858	0.0029541
34	234.9967833090385	0.00245594
35	247.89542298010716	0.00204194
36	262.23896116144317	0.00169651
37	275.7378241282679	0.00140955
38	289.1502243493868	0.00117005
39	304.14942129511394	9.7891E-4
40	319.50771498771496	8.14E-4   
